English,German
Could not create save file: {0},Konnte Speicherdatei nicht erstellen: {0}
Could not start server:,Konnte Server nicht starten:
Connection Failed,Verbindung fehlgeschlagen
Hit {0} for {1} damage!,{0} mit {1} Schaden getroffen!
You killed the {0}. Find the carcass to harvest it.,"Du ein {0} getötet. Finde den Kadaver, um ihn aufzusammeln."
The carcass has already been harvested,Der Kadaver wurde bereits aufgesammelt
You cannot queue more than {0} projects at a single table.,Du kannst nicht mehr als {0} Aufträge pro Tisch auf die Warteliste setzen.
Cannot lower the priority of other people's work orders on someone else's property.,Die Priorität von Aufträgen anderer Personen auf fremdem Besitz kann nicht geändert werden.
Project cancelled.,Projekt abgebrochen.
Could not cancel this project: {0},Dieser Auftrag konnte nicht abgebrochen werden: {0}
This {0:object} has active projects and can't be picked up,{0:object} hat aktive Aufträge und kann nicht aufgenommen werden
Specify an amount to buy first.,Gib zuerst eine Kaufmenge an.
Can't have more than 100 exchanges listed.,Es sind nicht mehr als 100 Wechsel möglich.
Can't have more than 100 holdings listed.,Es können nicht mehr als 100 Bestände gelistet sein.
"This mint is currently disabled, check status for details.","Diese Münzprägemaschine ist zur Zeit deaktiviert, prüfe den Status für weitere Details."
Invalid currency name.,Ungültiger Währungsname.
That currency name already exists at another mint.,Währungsname existiert bereits bei einer anderen Münzprägemaschine.
{0} created the currency {1}.,{0} hat die Währung {1} erstellt.
{0} renamed currency {1} to {2}.,{0} hat die Währung {1} in {2} umbenannt.
"This mint is currently not functional, check status for details.","Diese Münzprägemaschine funktioniert zur Zeit nicht, prüfe den Status für mehr Details."
Need to give your currency a name before you can craft it.,"Du musst der Währung einen Namen geben, bevor du sie fertigen kannst."
You must craft more than zero coins.,Du musst mindestens eine Münze herstellen.
{0} created {1}.,{0} erstellte {1}.
No item on table to repair.,Es befindet sich kein Gegenstand zum Reparieren auf dem Tisch.
Cannot repair {0}.,{0} kann nicht repariert werden.
{0} is already at max durability.,{0} verfügt bereits über maximale Haltbarkeit.
You can't repair {0} until you learn {1}.,"Du kannst {0} nicht reparieren, bevor du {1} gelernt hast."
"Unable to repair, please check table status.","Reparatur nicht möglich, prüfe den Status des Tisches."
"Not enough {0} to complete the repair, {1} needed.","Nicht genügend {0}, für die Reparatur. Es werden {1} benötigt."
{0} repaired to maximum durability.,{0} wurde repariert und verfügt nun über maximale Haltbarkeit.
No items marked for trade.,Keine Gegenstände zum Handeln ausgewählt.
Trade failed: {0} doesn't want any more {1}.,Handel fehlgeschlagen: {0} möchte nicht noch mehr {1}.
Trade failed: {0} wants a max of {1} {2},Handel fehlgeschlagen: {0} möchte maximal {1} {2}
The owner {0} doesn't have enough currency to cover this trade.,"Der Besitzer {0} hat nicht genügend Währung, um diesen Handel abzuschließen."
{0} is now sold out of {1},Bei {0} sind jetzt {1} ausverkauft
You are too hungry to pull this {0}!,"Du bist zu hungrig, um {0} zu ziehen!"
No meteor to destroy.,Kein Meteor zum Zerstören.
Meteor destroyed.,Meteor zerstört.
A wild meteor has appeared!,Ein wilder Meteor ist erschienen!
A meteor already exists!,Ein Meteor ist bereits vorhanden!
"Contract '{0}' is invalid, must fix or delete before posting another one.","Auftrag '{0}' ist ungültig und muss korrigiert oder gelöscht werden, bevor du einen weiteren veröffentlichst."
No currency found.,Keine Währung gefunden.
<Unassigned>,<Nicht zugewiesen>
That contract is too far away to accept.  Contract board is located at {0}.,"Dieser Auftrag ist zu weit entfernt, um angenommen zu werden. Das Anschlagsbrett befindet sich bei {0}."
